GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
METABOLISM OF FAT-SOLUBLE VITAMINS%REACTOME DATABASE ID RELEASE 65%6806667	37	15	1
APPENDAGE MORPHOGENESIS%GOBP%GO:0035107	37	15	1
REGULATION OF VACUOLE ORGANIZATION%GOBP%GO:0044088	37	15	1
LIMB MORPHOGENESIS%GOBP%GO:0035108	37	15	1
REGULATION OF DENDRITE MORPHOGENESIS%GOBP%GO:0048814	37	15	1
NUCLEOSIDE METABOLIC PROCESS%GOBP%GO:0009116	71	29	1
AXONOGENESIS%GOBP%GO:0007409	191	79	1
MITOTIC NUCLEAR DIVISION%GOBP%GO:0140014	124	51	1
HOMOLOGY DIRECTED REPAIR%REACTOME DATABASE ID RELEASE 65%5693538	112	46	1
POSITIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045931	100	41	1
REGULATION OF TP53 ACTIVITY THROUGH PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 65%6804756	88	36	1
REGULATION OF CELL CYCLE ARREST%GOBP%GO:0071156	88	36	1
MITOTIC DNA DAMAGE CHECKPOINT%GOBP%GO:0044773	88	36	1
PROTEIN METHYLATION%GOBP%GO:0006479	59	24	1
PROTEIN ALKYLATION%GOBP%GO:0008213	59	24	1
REGULATION OF ANATOMICAL STRUCTURE SIZE%GOBP%GO:0090066	227	94	1
PID_RHOA_PATHWAY%MSIGDB_C2%PID_RHOA_PATHWAY	42	17	1
RHOA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%RHOA SIGNALING PATHWAY	42	17	1
TRNA AMINOACYLATION%REACTOME DATABASE ID RELEASE 65%379724	42	17	1
POSTTRANSCRIPTIONAL GENE SILENCING BY RNA%GOBP%GO:0035194	42	17	1
HOMOPHILIC CELL ADHESION VIA PLASMA MEMBRANE ADHESION MOLECULES%GOBP%GO:0007156	42	17	1
POSITIVE REGULATION OF HORMONE SECRETION%GOBP%GO:0046887	42	17	1
COPI-DEPENDENT GOLGI-TO-ER RETROGRADE TRAFFIC%REACTOME DATABASE ID RELEASE 65%6811434	76	31	1
REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0033135	76	31	1
REGULATION OF CELL MORPHOGENESIS INVOLVED IN DIFFERENTIATION%GOBP%GO:0010769	141	58	1
NUCLEAR CHROMOSOME SEGREGATION%GOBP%GO:0098813	129	53	1
CARDIAC CONDUCTION%REACTOME DATABASE ID RELEASE 65%5576891	93	38	1
TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME%R-HSA-5668541.2	93	38	1
INTEGRATION OF ENERGY METABOLISM%REACTOME DATABASE ID RELEASE 65%163685	93	38	1
SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES%MSIGDB_C2%SIG_PIP3_SIGNALING_IN_CARDIAC_MYOCTES	64	26	1
RNA POLYMERASE II TRANSCRIBES SNRNA GENES%REACTOME%R-HSA-6807505.2	64	26	1
BMP SIGNALING PATHWAY%GOBP%GO:0030509	64	26	1
SNRNA TRANSCRIPTION%GOBP%GO:0009301	64	26	1
SNRNA TRANSCRIPTION BY RNA POLYMERASE II%GOBP%GO:0042795	64	26	1
REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0008593	64	26	1
STEROID HORMONE MEDIATED SIGNALING PATHWAY%GOBP%GO:0043401	64	26	1
NUCLEOSOME ASSEMBLY%REACTOME%R-HSA-774815.1	47	19	1
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME DATABASE ID RELEASE 65%606279	47	19	1
AMINO ACID ACTIVATION%GOBP%GO:0043038	47	19	1
NEGATIVE REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030512	47	19	1
NEGATIVE REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903845	47	19	1
TRNA AMINOACYLATION%GOBP%GO:0043039	47	19	1
CELLULAR IRON ION HOMEOSTASIS%GOBP%GO:0006879	47	19	1
LIPID LOCALIZATION%GOBP%GO:0010876	134	55	1
CELLULAR RESPONSE TO EXTRACELLULAR STIMULUS%GOBP%GO:0031668	134	55	1
BIOCARTA_ATM_PATHWAY%MSIGDB_C2%BIOCARTA_ATM_PATHWAY	20	8	1
TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN CYTOCHROME C RELEASE%REACTOME DATABASE ID RELEASE 65%6803204	20	8	1
NEGATIVE REGULATION OF MET ACTIVITY%REACTOME%R-HSA-6807004.1	20	8	1
CALCIUM ION IMPORT%GOBP%GO:0070509	20	8	1
POSITIVE REGULATION OF EPIDERMIS DEVELOPMENT%GOBP%GO:0045684	20	8	1
CRANIAL SKELETAL SYSTEM DEVELOPMENT%GOBP%GO:1904888	20	8	1
PHOSPHATIDYLGLYCEROL METABOLIC PROCESS%GOBP%GO:0046471	20	8	1
PHOSPHATIDYLCHOLINE ACYL-CHAIN REMODELING%GOBP%GO:0036151	20	8	1
HEME METABOLIC PROCESS%GOBP%GO:0042168	20	8	1
REGULATION OF MAST CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0033006	20	8	1
CHROMOSOME ORGANIZATION INVOLVED IN MEIOTIC CELL CYCLE%GOBP%GO:0070192	20	8	1
POSITIVE REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031346	182	75	1
PID_DNA_PK_PATHWAY%MSIGDB_C2%PID_DNA_PK_PATHWAY	15	6	1
PID_ARF6_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_ARF6_DOWNSTREAM_PATHWAY	15	6	1
ARF6 DOWNSTREAM PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ARF6 DOWNSTREAM PATHWAY	15	6	1
JAK STAT SIGNALING PATHWAY%PANTHER PATHWAY%P00038	15	6	1
TRP CHANNELS%REACTOME%R-HSA-3295583.1	15	6	1
MRNA DECAY BY 5' TO 3' EXORIBONUCLEASE%REACTOME%R-HSA-430039.1	15	6	1
GABA SYNTHESIS, RELEASE, REUPTAKE AND DEGRADATION%REACTOME%R-HSA-888590.1	15	6	1
WNT5A-DEPENDENT INTERNALIZATION OF FZD4%REACTOME%R-HSA-5099900.1	15	6	1
MRNA DECAY BY 3' TO 5' EXORIBONUCLEASE%REACTOME%R-HSA-429958.2	15	6	1
HIPPOCAMPUS DEVELOPMENT%GOBP%GO:0021766	15	6	1
NEGATIVE REGULATION OF PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0033137	15	6	1
NEGATIVE REGULATION OF TRANSLATIONAL INITIATION%GOBP%GO:0045947	15	6	1
GLUTAMINE FAMILY AMINO ACID CATABOLIC PROCESS%GOBP%GO:0009065	15	6	1
MUSCLE FIBER DEVELOPMENT%GOBP%GO:0048747	15	6	1
REGULATION OF PROTEIN HOMOOLIGOMERIZATION%GOBP%GO:0032462	15	6	1
EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND%GOBP%GO:0097192	15	6	1
CALCIUM-MEDIATED SIGNALING USING INTRACELLULAR CALCIUM SOURCE%GOBP%GO:0035584	15	6	1
INTRACELLULAR ESTROGEN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030520	15	6	1
HISTONE H2A ACETYLATION%GOBP%GO:0043968	15	6	1
RESPONSE TO ATP%GOBP%GO:0033198	15	6	1
OVARIAN FOLLICLE DEVELOPMENT%GOBP%GO:0001541	15	6	1
SODIUM ION HOMEOSTASIS%GOBP%GO:0055078	15	6	1
NEGATIVE REGULATION OF TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0010804	15	6	1
POSITIVE REGULATION OF EPIDERMAL CELL DIFFERENTIATION%GOBP%GO:0045606	15	6	1
REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:2001185	15	6	1
CENTRIOLE REPLICATION%GOBP%GO:0007099	15	6	1
SUBSTRATE-DEPENDENT CELL MIGRATION%GOBP%GO:0006929	15	6	1
DOPAMINERGIC NEURON DIFFERENTIATION%GOBP%GO:0071542	15	6	1
NEUROTRANSMITTER BIOSYNTHETIC PROCESS%GOBP%GO:0042136	15	6	1
REGULATION OF DOUBLE-STRAND BREAK REPAIR VIA NONHOMOLOGOUS END JOINING%GOBP%GO:2001032	15	6	1
NUCLEAR ENVELOPE REASSEMBLY%GOBP%GO:0031468	15	6	1
SIGNAL TRANSDUCTION IN ABSENCE OF LIGAND%GOBP%GO:0038034	15	6	1
POST-TRANSLATIONAL MODIFICATION: SYNTHESIS OF GPI-ANCHORED PROTEINS%REACTOME DATABASE ID RELEASE 65%163125	69	28	1
PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0018107	69	28	1
NEGATIVE REGULATION OF CYTOSKELETON ORGANIZATION%GOBP%GO:0051494	69	28	1
3-PHOSPHOINOSITIDE BIOSYNTHESIS%HUMANCYC%PWY-6352	25	10	1
PID_WNT_SIGNALING_PATHWAY%MSIGDB_C2%PID_WNT_SIGNALING_PATHWAY	25	10	1
5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376	25	10	1
REGULATION OF GLUCOKINASE BY GLUCOKINASE REGULATORY PROTEIN%REACTOME%R-HSA-170822.3	25	10	1
FGFR2 ALTERNATIVE SPLICING%REACTOME DATABASE ID RELEASE 65%6803529	25	10	1
REPLICATION FORK PROCESSING%GOBP%GO:0031297	25	10	1
EXCRETION%GOBP%GO:0007588	25	10	1
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE%GOBP%GO:1902229	25	10	1
CELLULAR SENESCENCE%GOBP%GO:0090398	25	10	1
GUANOSINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:1901068	25	10	1
NUCLEOTIDE-SUGAR METABOLIC PROCESS%GOBP%GO:0009225	25	10	1
PTERIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0042558	25	10	1
CELLULAR RESPONSE TO CAMP%GOBP%GO:0071320	25	10	1
CELLULAR RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0031669	127	52	1
PID_AVB3_OPN_PATHWAY%MSIGDB_C2%PID_AVB3_OPN_PATHWAY	30	12	1
BIOCARTA_EGF_PATHWAY%MSIGDB_C2%BIOCARTA_EGF_PATHWAY	30	12	1
PID_NETRIN_PATHWAY%MSIGDB_C2%PID_NETRIN_PATHWAY	30	12	1
NETRIN-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NETRIN-MEDIATED SIGNALING EVENTS	30	12	1
OSTEOPONTIN-MEDIATED EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%OSTEOPONTIN-MEDIATED EVENTS	30	12	1
FAS SIGNALING PATHWAY%PANTHER PATHWAY%P00020	30	12	1
SIGNALING BY NOTCH2%REACTOME%R-HSA-1980145.2	30	12	1
ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS%REACTOME DATABASE ID RELEASE 65%2122948	30	12	1
TERMINATION OF RNA POLYMERASE I TRANSCRIPTION%GOBP%GO:0006363	30	12	1
RESPONSE TO AMMONIUM ION%GOBP%GO:0060359	30	12	1
HORMONE BIOSYNTHETIC PROCESS%GOBP%GO:0042446	30	12	1
REGULATION OF DNA-TEMPLATED TRANSCRIPTION, INITIATION%GOBP%GO:2000142	30	12	1
ION HOMEOSTASIS%GOBP%GO:0050801	416	173	1
REGULATION OF MEMBRANE POTENTIAL%GOBP%GO:0042391	211	87	1
PUTRESCINE DEGRADATION III%HUMANCYC%PWY-0	10	4	1
NAD BIOSYNTHESIS II (FROM TRYPTOPHAN)%HUMANCYC%NADSYN-PWY	10	4	1
BIOCARTA_RANMS_PATHWAY%MSIGDB_C2%BIOCARTA_RANMS_PATHWAY	10	4	1
ACTIVATED NTRK2 SIGNALS THROUGH FRS2 AND FRS3%REACTOME DATABASE ID RELEASE 65%9028731	10	4	1
NEF MEDIATED DOWNREGULATION OF MHC CLASS I COMPLEX CELL SURFACE EXPRESSION%REACTOME DATABASE ID RELEASE 65%164940	10	4	1
HEME BIOSYNTHESIS%REACTOME%R-HSA-189451.1	10	4	1
MITOCHONDRIAL IRON-SULFUR CLUSTER BIOGENESIS%REACTOME%R-HSA-1362409.2	10	4	1
ERBB2 ACTIVATES PTK6 SIGNALING%REACTOME DATABASE ID RELEASE 65%8847993	10	4	1
CREB PHOSPHORYLATION THROUGH THE ACTIVATION OF CAMKII%REACTOME%R-HSA-442729.1	10	4	1
VLDLR INTERNALISATION AND DEGRADATION%REACTOME DATABASE ID RELEASE 65%8866427	10	4	1
ADENYLATE CYCLASE ACTIVATING PATHWAY%REACTOME DATABASE ID RELEASE 65%170660	10	4	1
TRAF6 MEDIATED IRF7 ACTIVATION IN TLR7 8 OR 9 SIGNALING%REACTOME DATABASE ID RELEASE 65%975110	10	4	1
ACTIVATION OF THE AP-1 FAMILY OF TRANSCRIPTION FACTORS%REACTOME%R-HSA-450341.1	10	4	1
INTERLEUKIN-27 SIGNALING%REACTOME DATABASE ID RELEASE 65%9020956	10	4	1
IRAK1 RECRUITS IKK COMPLEX%REACTOME DATABASE ID RELEASE 65%937039	10	4	1
IRAK1 RECRUITS IKK COMPLEX UPON TLR7 8 OR 9 STIMULATION%REACTOME DATABASE ID RELEASE 65%975144	10	4	1
SHC-MEDIATED CASCADE:FGFR4%REACTOME%R-HSA-5654719.2	10	4	1
ACYL CHAIN REMODELLING OF PI%REACTOME%R-HSA-1482922.2	10	4	1
NEGATIVE REGULATION OF OXIDATIVE STRESS-INDUCED NEURON DEATH%GOBP%GO:1903204	10	4	1
NEGATIVE REGULATION OF PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0010801	10	4	1
MITOCHONDRION TRANSPORT ALONG MICROTUBULE%GOBP%GO:0047497	10	4	1
GALACTOSE METABOLIC PROCESS%GOBP%GO:0006012	10	4	1
METHIONINE BIOSYNTHETIC PROCESS%GOBP%GO:0009086	10	4	1
REGULATION OF NMDA RECEPTOR ACTIVITY%GOBP%GO:2000310	10	4	1
CARNITINE METABOLIC PROCESS%GOBP%GO:0009437	10	4	1
INTERLEUKIN-27-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070106	10	4	1
INDOLALKYLAMINE METABOLIC PROCESS%GOBP%GO:0006586	10	4	1
RESOLUTION OF MEIOTIC RECOMBINATION INTERMEDIATES%GOBP%GO:0000712	10	4	1
LOW-DENSITY LIPOPROTEIN PARTICLE RECEPTOR CATABOLIC PROCESS%GOBP%GO:0032802	10	4	1
ESTABLISHMENT OF ENDOTHELIAL INTESTINAL BARRIER%GOBP%GO:0090557	10	4	1
NEGATIVE REGULATION OF ACTIN FILAMENT DEPOLYMERIZATION%GOBP%GO:0030835	10	4	1
REGULATION OF MITOTIC CENTROSOME SEPARATION%GOBP%GO:0046602	10	4	1
L-SERINE METABOLIC PROCESS%GOBP%GO:0006563	10	4	1
T CELL HOMEOSTASIS%GOBP%GO:0043029	10	4	1
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX IV ASSEMBLY%GOBP%GO:0033617	10	4	1
TELOMERE MAINTENANCE IN RESPONSE TO DNA DAMAGE%GOBP%GO:0043247	10	4	1
GOLGI LOCALIZATION%GOBP%GO:0051645	10	4	1
REGULATION OF ER TO GOLGI VESICLE-MEDIATED TRANSPORT%GOBP%GO:0060628	10	4	1
KINETOCHORE ORGANIZATION%GOBP%GO:0051383	10	4	1
REGULATION OF CATECHOLAMINE SECRETION%GOBP%GO:0050433	10	4	1
SIGNAL PEPTIDE PROCESSING%GOBP%GO:0006465	10	4	1
NEGATIVE REGULATION OF ATPASE ACTIVITY%GOBP%GO:0032780	10	4	1
POSITIVE REGULATION OF TRANSCRIPTION OF NUCLEOLAR LARGE RRNA BY RNA POLYMERASE I%GOBP%GO:1901838	10	4	1
NEGATIVE REGULATION OF ADENYLATE CYCLASE ACTIVITY%GOBP%GO:0007194	10	4	1
ANIMAL ORGAN MATURATION%GOBP%GO:0048799	10	4	1
SERINE FAMILY AMINO ACID BIOSYNTHETIC PROCESS%GOBP%GO:0009070	10	4	1
REGULATION OF INCLUSION BODY ASSEMBLY%GOBP%GO:0090083	10	4	1
ESTABLISHMENT OF MITOCHONDRION LOCALIZATION, MICROTUBULE-MEDIATED%GOBP%GO:0034643	10	4	1
REGULATION OF PROTEIN LOCALIZATION TO CENTROSOME%GOBP%GO:1904779	10	4	1
NEGATIVE REGULATION OF CARDIOCYTE DIFFERENTIATION%GOBP%GO:1905208	10	4	1
DNA DEAMINATION%GOBP%GO:0045006	10	4	1
PHOSPHATIDYLINOSITOL ACYL-CHAIN REMODELING%GOBP%GO:0036149	10	4	1
CELLULAR BIOGENIC AMINE BIOSYNTHETIC PROCESS%GOBP%GO:0042401	10	4	1
WATER TRANSPORT%GOBP%GO:0006833	10	4	1
NEGATIVE REGULATION OF CYCLASE ACTIVITY%GOBP%GO:0031280	10	4	1
REGULATION OF HIPPO SIGNALING%GOBP%GO:0035330	10	4	1
DETECTION OF CALCIUM ION%GOBP%GO:0005513	10	4	1
INTERMEDIATE FILAMENT ORGANIZATION%GOBP%GO:0045109	10	4	1
NEURON FATE COMMITMENT%GOBP%GO:0048663	10	4	1
ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000380	10	4	1
MOTOR NEURON AXON GUIDANCE%GOBP%GO:0008045	10	4	1
REGULATION OF DNA DAMAGE CHECKPOINT%GOBP%GO:2000001	10	4	1
NUCLEAR PORE COMPLEX ASSEMBLY%GOBP%GO:0051292	10	4	1
MITRAL VALVE DEVELOPMENT%GOBP%GO:0003174	10	4	1
OOCYTE DEVELOPMENT%GOBP%GO:0048599	10	4	1
SEX DETERMINATION%GOBP%GO:0007530	10	4	1
CENTRAL NERVOUS SYSTEM PROJECTION NEURON AXONOGENESIS%GOBP%GO:0021952	10	4	1
CELLULAR CHEMICAL HOMEOSTASIS%GOBP%GO:0055082	378	157	1
PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210	74	30	1
REGULATION OF ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902930	57	23	1
HEDGEHOG%IOB%HEDGEHOG	35	14	1
IL2 SIGNALING EVENTS MEDIATED BY PI3K%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2 SIGNALING EVENTS MEDIATED BY PI3K	35	14	1
HEDGEHOG%NETPATH%HEDGEHOG	35	14	1
SIGNALING BY FGFR1%REACTOME%R-HSA-5654736.4	35	14	1
DEVELOPMENT OF PRIMARY MALE SEXUAL CHARACTERISTICS%GOBP%GO:0046546	35	14	1
POSITIVE REGULATION OF RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0060760	35	14	1
ENDOPLASMIC RETICULUM ORGANIZATION%GOBP%GO:0007029	35	14	1
CELLULAR ION HOMEOSTASIS%GOBP%GO:0006873	340	141	1
REGULATION OF MULTI-ORGANISM PROCESS%GOBP%GO:0043900	247	102	1
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0019886	91	37	1
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002504	91	37	1
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002495	91	37	1
CELLULAR CATION HOMEOSTASIS%GOBP%GO:0030003	333	138	1
REGULATION OF PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1904375	79	32	1
RESPONSE TO FIBROBLAST GROWTH FACTOR%GOBP%GO:0071774	79	32	1
REGULATION OF MORPHOGENESIS OF AN EPITHELIUM%GOBP%GO:1905330	79	32	1
AQUAPORIN-MEDIATED TRANSPORT%REACTOME DATABASE ID RELEASE 65%445717	40	16	1
FORMATION OF HIV ELONGATION COMPLEX IN THE ABSENCE OF HIV TAT%REACTOME DATABASE ID RELEASE 65%167152	40	16	1
SUMOYLATION OF RNA BINDING PROTEINS%REACTOME DATABASE ID RELEASE 65%4570464	40	16	1
AMINE METABOLIC PROCESS%GOBP%GO:0009308	40	16	1
HISTONE METHYLATION%GOBP%GO:0016571	40	16	1
POSITIVE REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0045840	40	16	1
SIGNALING BY TGF-BETA FAMILY MEMBERS%REACTOME DATABASE ID RELEASE 65%9006936	96	39	1
RNA TRANSPORT%GOBP%GO:0050658	125	51	1
NUCLEIC ACID TRANSPORT%GOBP%GO:0050657	125	51	1
REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031344	350	145	1
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY%MSIGDB_C2%HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	45	18	1
GENE SILENCING BY RNA%GOBP%GO:0031047	45	18	1
CELLULAR RESPONSE TO CALCIUM ION%GOBP%GO:0071277	45	18	1
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418	45	18	1
POSITIVE REGULATION OF ENDOCYTOSIS%GOBP%GO:0045807	84	34	1
RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0031667	166	68	1
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION%GOBP%GO:0071824	154	63	1
ACTIVATION OF MAPK ACTIVITY%GOBP%GO:0000187	101	41	1
INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0097193	101	41	1
PROTEIN HOMOTETRAMERIZATION%GOBP%GO:0051289	50	20	1
OXIDOREDUCTION COENZYME METABOLIC PROCESS%GOBP%GO:0006733	89	36	1
HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDB_C2%HALLMARK_CHOLESTEROL_HOMEOSTASIS	72	29	1
REGULATION OF PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:1903076	72	29	1
REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903844	72	29	1
REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY%GOBP%GO:0017015	72	29	1
RNA LOCALIZATION%GOBP%GO:0006403	147	60	1
REGULATION OF HEART CONTRACTION%GOBP%GO:0008016	135	55	1
REGULATION OF AXONOGENESIS%GOBP%GO:0050770	77	31	1
CELLULAR RESPONSE TO FIBROBLAST GROWTH FACTOR STIMULUS%GOBP%GO:0044344	77	31	1
NUCLEAR TRANSPORT%GOBP%GO:0051169	200	82	1
MITOTIC G1/S TRANSITION CHECKPOINT%GOBP%GO:0044819	60	24	1
THIOESTER METABOLIC PROCESS%GOBP%GO:0035383	60	24	1
ACYL-COA METABOLIC PROCESS%GOBP%GO:0006637	60	24	1
MITOTIC G1 DNA DAMAGE CHECKPOINT%GOBP%GO:0031571	60	24	1
REGULATION OF DENDRITE DEVELOPMENT%GOBP%GO:0050773	60	24	1
RESPONSE TO OXYGEN LEVELS%GOBP%GO:0070482	140	57	1
NUCLEAR EXPORT%GOBP%GO:0051168	128	52	1
PROTEIN-DNA COMPLEX ASSEMBLY%GOBP%GO:0065004	128	52	1
PID_CDC42_REG_PATHWAY%MSIGDB_C2%PID_CDC42_REG_PATHWAY	28	11	1
REGULATION OF CDC42 ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF CDC42 ACTIVITY	28	11	1
BARD1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BARD1 SIGNALING EVENTS	28	11	1
IL-7%NETPATH%IL-7	28	11	1
NUCLEAR IMPORT OF REV PROTEIN%REACTOME DATABASE ID RELEASE 65%180746	28	11	1
SYNTHESIS OF PA%REACTOME DATABASE ID RELEASE 65%1483166	28	11	1
RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 3 PROMOTER%REACTOME%R-HSA-76071.2	28	11	1
CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002753	28	11	1
POSITIVE REGULATION OF PEPTIDE HORMONE SECRETION%GOBP%GO:0090277	28	11	1
SISTER CHROMATID COHESION%GOBP%GO:0007062	28	11	1
ACYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:0071616	28	11	1
REGULATION OF PEPTIDYL-THREONINE PHOSPHORYLATION%GOBP%GO:0010799	28	11	1
DIGESTIVE SYSTEM PROCESS%GOBP%GO:0022600	28	11	1
CENTRAL NERVOUS SYSTEM NEURON DEVELOPMENT%GOBP%GO:0021954	28	11	1
REGULATION OF HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION%GOBP%GO:1901532	28	11	1
REGULATION OF PROTEIN OLIGOMERIZATION%GOBP%GO:0032459	28	11	1
THIOESTER BIOSYNTHETIC PROCESS%GOBP%GO:0035384	28	11	1
EAR MORPHOGENESIS%GOBP%GO:0042471	28	11	1
ID%IOB%ID	23	9	1
BIOCARTA_PTDINS_PATHWAY%MSIGDB_C2%BIOCARTA_PTDINS_PATHWAY	23	9	1
CANONICAL NF-KAPPAB PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CANONICAL NF-KAPPAB PATHWAY	23	9	1
INTERACTION BETWEEN L1 AND ANKYRINS%REACTOME DATABASE ID RELEASE 65%445095	23	9	1
PYRUVATE METABOLISM%REACTOME DATABASE ID RELEASE 65%70268	23	9	1
TRIGLYCERIDE METABOLISM%REACTOME DATABASE ID RELEASE 65%8979227	23	9	1
POSITIVE REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA%GOBP%GO:0090200	23	9	1
POSITIVE REGULATION OF PURINE NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:1900544	23	9	1
CELLULAR RESPONSE TO MONOSACCHARIDE STIMULUS%GOBP%GO:0071326	23	9	1
POSITIVE REGULATION OF NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0045981	23	9	1
MATURATION OF LSU-RRNA%GOBP%GO:0000470	23	9	1
NEGATIVE REGULATION OF PROTEASOMAL UBIQUITIN-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0032435	23	9	1
RESPONSE TO EPIDERMAL GROWTH FACTOR%GOBP%GO:0070849	23	9	1
POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031112	23	9	1
ANION HOMEOSTASIS%GOBP%GO:0055081	23	9	1
CELLULAR RESPONSE TO HEXOSE STIMULUS%GOBP%GO:0071331	23	9	1
REGULATION OF TRANSCRIPTION INVOLVED IN G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000083	23	9	1
MITOCHONDRIAL MEMBRANE ORGANIZATION%GOBP%GO:0007006	99	40	1
FOREBRAIN DEVELOPMENT%GOBP%GO:0030900	99	40	1
TELOMERE ORGANIZATION%GOBP%GO:0032200	82	33	1
SENSORY ORGAN MORPHOGENESIS%GOBP%GO:0090596	82	33	1
PID_MAPK_TRK_PATHWAY%MSIGDB_C2%PID_MAPK_TRK_PATHWAY	33	13	1
TRK RECEPTOR SIGNALING MEDIATED BY THE MAPK PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRK RECEPTOR SIGNALING MEDIATED BY THE MAPK PATHWAY	33	13	1
REGULATION OF GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071622	33	13	1
AMINO SUGAR METABOLIC PROCESS%GOBP%GO:0006040	33	13	1
