GENE.SET	NR.GENES	NR.SIG.GENES	P.VALUE
UNTITLED%PANTHER PATHWAY%P00019	65	27	0.614
REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035304	53	22	0.614
REGULATION OF EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030856	77	32	0.615
ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.2	41	17	0.616
CHOLESTEROL HOMEOSTASIS%GOBP%GO:0042632	41	17	0.616
STEROL HOMEOSTASIS%GOBP%GO:0055092	41	17	0.616
ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY%GOBP%GO:0007163	101	42	0.618
CELLULAR RESPONSE TO HYPOXIA%REACTOME%R-HSA-2262749.1	70	29	0.622
REGULATION OF HYPOXIA-INDUCIBLE FACTOR (HIF) BY OXYGEN%REACTOME DATABASE ID RELEASE 65%1234174	70	29	0.622
VEGFR1 SPECIFIC SIGNALS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VEGFR1 SPECIFIC SIGNALS	29	12	0.622
MRNA CAPPING%REACTOME DATABASE ID RELEASE 65%72086	29	12	0.622
SUMOYLATION OF SUMOYLATION PROTEINS%REACTOME DATABASE ID RELEASE 65%4085377	29	12	0.622
POSITIVE REGULATION OF DENDRITE DEVELOPMENT%GOBP%GO:1900006	29	12	0.622
POSITIVE REGULATION OF VIRAL GENOME REPLICATION%GOBP%GO:0045070	29	12	0.622
REGULATION OF CARDIAC MUSCLE CELL CONTRACTION%GOBP%GO:0086004	29	12	0.622
POSITIVE REGULATION OF BLOOD CIRCULATION%GOBP%GO:1903524	29	12	0.622
MEIOTIC CHROMOSOME SEGREGATION%GOBP%GO:0045132	29	12	0.622
REGULATION OF LEUKOCYTE DEGRANULATION%GOBP%GO:0043300	29	12	0.622
ACTIN POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0008154	29	12	0.622
REGULATION OF DNA DAMAGE RESPONSE, SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:0043516	29	12	0.622
REGULATION OF NEURON APOPTOTIC PROCESS%GOBP%GO:0043523	82	34	0.623
TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 65%381340	58	24	0.623
MEMBRANE DOCKING%GOBP%GO:0022406	137	57	0.624
MITOTIC DNA INTEGRITY CHECKPOINT%GOBP%GO:0044774	94	39	0.624
REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035303	106	44	0.625
PID_TNF_PATHWAY%MSIGDB_C2%PID_TNF_PATHWAY	46	19	0.625
PID_ILK_PATHWAY%MSIGDB_C2%PID_ILK_PATHWAY	46	19	0.625
SIGNALING BY ERBB2%REACTOME%R-HSA-1227986.5	46	19	0.625
NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR (NLR) SIGNALING PATHWAYS%REACTOME%R-HSA-168643.1	46	19	0.625
CARDIAC MUSCLE CONTRACTION%GOBP%GO:0060048	46	19	0.625
CELLULAR COMPONENT MORPHOGENESIS%GOBP%GO:0032989	382	160	0.63
CELLULAR RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0071496	173	72	0.63
ORGANIC ACID CATABOLIC PROCESS%GOBP%GO:0016054	173	72	0.63
CARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0046395	173	72	0.63
MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0000070	87	36	0.63
SENESCENCE-ASSOCIATED SECRETORY PHENOTYPE (SASP)%REACTOME%R-HSA-2559582.2	75	31	0.63
HORMONE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0009755	75	31	0.63
MULTICELLULAR ORGANISMAL SIGNALING%GOBP%GO:0035637	75	31	0.63
REGULATION OF RNA SPLICING%GOBP%GO:0043484	75	31	0.63
BIOCARTA_FMLP_PATHWAY%MSIGDB_C2%BIOCARTA_FMLP_PATHWAY	34	14	0.63
SIGNALING BY TYPE 1 INSULIN-LIKE GROWTH FACTOR 1 RECEPTOR (IGF1R)%REACTOME%R-HSA-2404192.2	34	14	0.63
IRS-RELATED EVENTS TRIGGERED BY IGF1R%REACTOME DATABASE ID RELEASE 65%2428928	34	14	0.63
CIRCADIAN CLOCK%REACTOME DATABASE ID RELEASE 65%400253	34	14	0.63
HISTIDINE, LYSINE, PHENYLALANINE, TYROSINE, PROLINE AND TRYPTOPHAN CATABOLISM%REACTOME DATABASE ID RELEASE 65%6788656	34	14	0.63
IGF1R SIGNALING CASCADE%REACTOME%R-HSA-2428924.1	34	14	0.63
TRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME%R-HSA-6782315.5	34	14	0.63
POSITIVE REGULATION OF INTERLEUKIN-8 PRODUCTION%GOBP%GO:0032757	34	14	0.63
POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747	34	14	0.63
MONOCARBOXYLIC ACID TRANSPORT%GOBP%GO:0015718	63	26	0.631
REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042752	63	26	0.631
ROLE OF CALCINEURIN-DEPENDENT NFAT SIGNALING IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ROLE OF CALCINEURIN-DEPENDENT NFAT SIGNALING IN LYMPHOCYTES	51	21	0.633
FAT CELL DIFFERENTIATION%GOBP%GO:0045444	51	21	0.633
ADHERENS JUNCTION ORGANIZATION%GOBP%GO:0034332	51	21	0.633
DNA-PK PATHWAY IN NONHOMOLOGOUS END JOINING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DNA-PK PATHWAY IN NONHOMOLOGOUS END JOINING	12	5	0.633
CHOLESTEROL BIOSYNTHESIS%PANTHER PATHWAY%P00014	12	5	0.633
DE NOVO PYRIMIDINE DEOXYRIBONUCLEOTIDE BIOSYNTHESIS%PANTHER PATHWAY%P02739	12	5	0.633
ATTENUATION PHASE%REACTOME%R-HSA-3371568.1	12	5	0.633
BIOSYNTHESIS OF DHA-DERIVED SPMS%REACTOME%R-HSA-9018677.1	12	5	0.633
NF-KB ACTIVATION THROUGH FADD RIP-1 PATHWAY MEDIATED BY CASPASE-8 AND -10%REACTOME%R-HSA-933543.3	12	5	0.633
P38MAPK EVENTS%REACTOME%R-HSA-171007.2	12	5	0.633
SYNTHESIS AND PROCESSING OF GAG, GAGPOL POLYPROTEINS%REACTOME%R-HSA-174495.1	12	5	0.633
RAS ACTIVATION UPON CA2+ INFLUX THROUGH NMDA RECEPTOR%REACTOME%R-HSA-442982.2	12	5	0.633
PI3K EVENTS IN ERBB2 SIGNALING%REACTOME%R-HSA-1963642.3	12	5	0.633
TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS%REACTOME DATABASE ID RELEASE 65%159234	12	5	0.633
MEMBRANE BINDING AND TARGETTING OF GAG PROTEINS%REACTOME DATABASE ID RELEASE 65%174490	12	5	0.633
REGULATION OF KIT SIGNALING%REACTOME DATABASE ID RELEASE 65%1433559	12	5	0.633
SHC1 EVENTS IN ERBB4 SIGNALING%REACTOME%R-HSA-1250347.2	12	5	0.633
REGULATION OF NECROTIC CELL DEATH%GOBP%GO:0010939	12	5	0.633
REGULATION OF ASTROCYTE DIFFERENTIATION%GOBP%GO:0048710	12	5	0.633
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY%GOBP%GO:0002717	12	5	0.633
POSITIVE REGULATION OF SMOOTHENED SIGNALING PATHWAY%GOBP%GO:0045880	12	5	0.633
REGULATION OF HAIR CYCLE%GOBP%GO:0042634	12	5	0.633
DNA REPLICATION INITIATION%GOBP%GO:0006270	12	5	0.633
BRAIN MORPHOGENESIS%GOBP%GO:0048854	12	5	0.633
AMINO SUGAR CATABOLIC PROCESS%GOBP%GO:0046348	12	5	0.633
INSULIN SECRETION%GOBP%GO:0030073	12	5	0.633
POSITIVE REGULATION OF CILIUM ASSEMBLY%GOBP%GO:0045724	12	5	0.633
REGULATION OF TRIGLYCERIDE BIOSYNTHETIC PROCESS%GOBP%GO:0010866	12	5	0.633
REGULATION OF IRE1-MEDIATED UNFOLDED PROTEIN RESPONSE%GOBP%GO:1903894	12	5	0.633
ENDONUCLEOLYTIC CLEAVAGE INVOLVED IN RRNA PROCESSING%GOBP%GO:0000478	12	5	0.633
NEGATIVE REGULATION OF NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0045980	12	5	0.633
CAMP METABOLIC PROCESS%GOBP%GO:0046058	12	5	0.633
PHOSPHATIDYLGLYCEROL ACYL-CHAIN REMODELING%GOBP%GO:0036148	12	5	0.633
RESPONSE TO COPPER ION%GOBP%GO:0046688	12	5	0.633
NEGATIVE REGULATION OF ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902931	12	5	0.633
POSITIVE REGULATION OF MYOTUBE DIFFERENTIATION%GOBP%GO:0010831	12	5	0.633
PHOSPHATIDYLETHANOLAMINE BIOSYNTHETIC PROCESS%GOBP%GO:0006646	12	5	0.633
REGULATION OF T-HELPER 17 CELL DIFFERENTIATION%GOBP%GO:2000319	12	5	0.633
POSITIVE REGULATION OF LYMPHOCYTE CHEMOTAXIS%GOBP%GO:0140131	12	5	0.633
COLUMNAR/CUBOIDAL EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002066	12	5	0.633
CELLULAR RESPONSE TO GLUCOCORTICOID STIMULUS%GOBP%GO:0071385	12	5	0.633
EMBRYONIC CAMERA-TYPE EYE DEVELOPMENT%GOBP%GO:0031076	12	5	0.633
REGULATION OF RETINOIC ACID RECEPTOR SIGNALING PATHWAY%GOBP%GO:0048385	12	5	0.633
ENDOCHONDRAL BONE MORPHOGENESIS%GOBP%GO:0060350	12	5	0.633
CELLULAR RESPONSE TO ESTRADIOL STIMULUS%GOBP%GO:0071392	12	5	0.633
POSITIVE REGULATION OF PROTEIN DEPOLYMERIZATION%GOBP%GO:1901881	12	5	0.633
REVERSE CHOLESTEROL TRANSPORT%GOBP%GO:0043691	12	5	0.633
ATRIAL SEPTUM DEVELOPMENT%GOBP%GO:0003283	12	5	0.633
ESTABLISHMENT OF APICAL/BASAL CELL POLARITY%GOBP%GO:0035089	12	5	0.633
POSITIVE REGULATION OF RESPONSE TO OXIDATIVE STRESS%GOBP%GO:1902884	12	5	0.633
NEGATIVE REGULATION OF TRANSCRIPTION REGULATORY REGION DNA BINDING%GOBP%GO:2000678	12	5	0.633
NEGATIVE REGULATION OF MYOTUBE DIFFERENTIATION%GOBP%GO:0010832	12	5	0.633
CELL FATE COMMITMENT INVOLVED IN FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0060795	12	5	0.633
AMYLOID-BETA METABOLIC PROCESS%GOBP%GO:0050435	12	5	0.633
SPHINGOSINE AND SPHINGOSINE-1-PHOSPHATE METABOLISM%HUMANCYC%PWY3DJ-11470	7	3	0.635
PYRUVATE METABOLISM%PANTHER PATHWAY%P02772	7	3	0.635
P75NTR REGULATES AXONOGENESIS%REACTOME DATABASE ID RELEASE 65%193697	7	3	0.635
SYNTHESIS, SECRETION, AND INACTIVATION OF GLUCAGON-LIKE PEPTIDE-1 (GLP-1)%REACTOME%R-HSA-381771.2	7	3	0.635
NECTIN NECL TRANS HETERODIMERIZATION%REACTOME%R-HSA-420597.2	7	3	0.635
SIGNALING BY TGF-BETA RECEPTOR COMPLEX IN CANCER%REACTOME%R-HSA-3304351.1	7	3	0.635
SYNTHESIS, SECRETION, AND INACTIVATION OF GLUCOSE-DEPENDENT INSULINOTROPIC POLYPEPTIDE (GIP)%REACTOME DATABASE ID RELEASE 65%400511	7	3	0.635
SHC-RELATED EVENTS TRIGGERED BY IGF1R%REACTOME%R-HSA-2428933.1	7	3	0.635
TYSND1 CLEAVES PEROXISOMAL PROTEINS%REACTOME%R-HSA-9033500.2	7	3	0.635
EGFR TRANSACTIVATION BY GASTRIN%REACTOME%R-HSA-2179392.1	7	3	0.635
NEF AND SIGNAL TRANSDUCTION%REACTOME DATABASE ID RELEASE 65%164944	7	3	0.635
ACTIVATED NTRK2 SIGNALS THROUGH RAS%REACTOME%R-HSA-9026519.1	7	3	0.635
RUNX3 REGULATES P14-ARF%REACTOME%R-HSA-8951936.1	7	3	0.635
INCRETIN SYNTHESIS, SECRETION, AND INACTIVATION%REACTOME%R-HSA-400508.1	7	3	0.635
NEF MEDIATED CD8 DOWN-REGULATION%REACTOME%R-HSA-182218.1	7	3	0.635
PASSIVE TRANSPORT BY AQUAPORINS%REACTOME DATABASE ID RELEASE 65%432047	7	3	0.635
DEX H-BOX HELICASES ACTIVATE TYPE I IFN AND INFLAMMATORY CYTOKINES PRODUCTION%REACTOME%R-HSA-3134963.2	7	3	0.635
TRAIL SIGNALING%REACTOME DATABASE ID RELEASE 65%75158	7	3	0.635
NEGATIVE REGULATION OF NITRIC OXIDE METABOLIC PROCESS%GOBP%GO:1904406	7	3	0.635
POSITIVE REGULATION OF MEMBRANE POTENTIAL%GOBP%GO:0045838	7	3	0.635
PROTECTION FROM NON-HOMOLOGOUS END JOINING AT TELOMERE%GOBP%GO:0031848	7	3	0.635
PIRNA METABOLIC PROCESS%GOBP%GO:0034587	7	3	0.635
REGULATION OF PROTEIN HETERODIMERIZATION ACTIVITY%GOBP%GO:0043497	7	3	0.635
NEGATIVE REGULATION OF PROTEIN POLYUBIQUITINATION%GOBP%GO:1902915	7	3	0.635
IRON ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098711	7	3	0.635
TRIVALENT INORGANIC ANION HOMEOSTASIS%GOBP%GO:0072506	7	3	0.635
REGULATION OF NLRP3 INFLAMMASOME COMPLEX ASSEMBLY%GOBP%GO:1900225	7	3	0.635
NEGATIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032691	7	3	0.635
POSITIVE REGULATION OF DENDRITIC SPINE MORPHOGENESIS%GOBP%GO:0061003	7	3	0.635
MULTI-ORGANISM MEMBRANE FUSION%GOBP%GO:0044800	7	3	0.635
NEGATIVE REGULATION OF NITRIC OXIDE BIOSYNTHETIC PROCESS%GOBP%GO:0045019	7	3	0.635
REGULATION OF AMYLOID PRECURSOR PROTEIN BIOSYNTHETIC PROCESS%GOBP%GO:0042984	7	3	0.635
NEGATIVE REGULATION OF CHROMATIN SILENCING%GOBP%GO:0031936	7	3	0.635
PEPTIDYL-L-CYSTEINE S-PALMITOYLATION%GOBP%GO:0018230	7	3	0.635
PROTEIN DESUMOYLATION%GOBP%GO:0016926	7	3	0.635
MULTI-ORGANISM MEMBRANE ORGANIZATION%GOBP%GO:0044803	7	3	0.635
POLYADENYLATION-DEPENDENT NCRNA CATABOLIC PROCESS%GOBP%GO:0043634	7	3	0.635
HETEROCHROMATIN ASSEMBLY%GOBP%GO:0031507	7	3	0.635
L-METHIONINE BIOSYNTHETIC PROCESS%GOBP%GO:0071265	7	3	0.635
DYNAMIN FAMILY PROTEIN POLYMERIZATION INVOLVED IN MEMBRANE FISSION%GOBP%GO:0003373	7	3	0.635
POSITIVE REGULATION OF CELLULAR SENESCENCE%GOBP%GO:2000774	7	3	0.635
REGULATION OF CELL MATURATION%GOBP%GO:1903429	7	3	0.635
POSITIVE REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS%GOBP%GO:0090154	7	3	0.635
FATTY ACID ALPHA-OXIDATION%GOBP%GO:0001561	7	3	0.635
NEURON PROJECTION ARBORIZATION%GOBP%GO:0140058	7	3	0.635
NEGATIVE REGULATION OF NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0030809	7	3	0.635
ACTIVATION OF MAPKKK ACTIVITY%GOBP%GO:0000185	7	3	0.635
PHASIC SMOOTH MUSCLE CONTRACTION%GOBP%GO:0014821	7	3	0.635
POSITIVE REGULATION OF EXTRACELLULAR MATRIX DISASSEMBLY%GOBP%GO:0090091	7	3	0.635
ESTABLISHMENT OF GOLGI LOCALIZATION%GOBP%GO:0051683	7	3	0.635
RESPONSE TO MAGNESIUM ION%GOBP%GO:0032026	7	3	0.635
DYNAMIN FAMILY PROTEIN POLYMERIZATION INVOLVED IN MITOCHONDRIAL FISSION%GOBP%GO:0003374	7	3	0.635
REGULATION OF LONG-TERM NEURONAL SYNAPTIC PLASTICITY%GOBP%GO:0048169	7	3	0.635
POSITIVE REGULATION OF CERAMIDE BIOSYNTHETIC PROCESS%GOBP%GO:2000304	7	3	0.635
REGULATION OF MITOCHONDRIAL FUSION%GOBP%GO:0010635	7	3	0.635
NEGATIVE REGULATION OF RETINOIC ACID RECEPTOR SIGNALING PATHWAY%GOBP%GO:0048387	7	3	0.635
WNT SIGNALING PATHWAY INVOLVED IN MIDBRAIN DOPAMINERGIC NEURON DIFFERENTIATION%GOBP%GO:1904953	7	3	0.635
NOSE DEVELOPMENT%GOBP%GO:0043584	7	3	0.635
POSITIVE REGULATION OF SMOOTH MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:0034393	7	3	0.635
SECRETION BY TISSUE%GOBP%GO:0032941	7	3	0.635
POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY%GOBP%GO:0034145	7	3	0.635
ENDONUCLEOLYTIC CLEAVAGE IN ITS1 TO SEPARATE SSU-RRNA FROM 5.8S RRNA AND LSU-RRNA FROM TRICISTRONIC RRNA TRANSCRIPT (SSU-RRNA, 5.8S RRNA, LSU-RRNA)%GOBP%GO:0000447	7	3	0.635
ISOPRENOID CATABOLIC PROCESS%GOBP%GO:0008300	7	3	0.635
NEGATIVE REGULATION OF ATP BIOSYNTHETIC PROCESS%GOBP%GO:2001170	7	3	0.635
PHOSPHATE ION HOMEOSTASIS%GOBP%GO:0055062	7	3	0.635
CELLULAR RESPONSE TO COPPER ION%GOBP%GO:0071280	7	3	0.635
UBIQUITIN RECYCLING%GOBP%GO:0010992	7	3	0.635
AXON REGENERATION%GOBP%GO:0031103	7	3	0.635
NEGATIVE REGULATION OF T-HELPER 17 TYPE IMMUNE RESPONSE%GOBP%GO:2000317	7	3	0.635
PROGESTERONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050847	7	3	0.635
INNER EAR RECEPTOR CELL DEVELOPMENT%GOBP%GO:0060119	7	3	0.635
ESTROGEN METABOLIC PROCESS%GOBP%GO:0008210	7	3	0.635
NEURONAL ION CHANNEL CLUSTERING%GOBP%GO:0045161	7	3	0.635
HISTONE H4-K5 ACETYLATION%GOBP%GO:0043981	7	3	0.635
REGULATION OF RESPIRATORY BURST%GOBP%GO:0060263	7	3	0.635
POSITIVE REGULATION OF RESPONSE TO DRUG%GOBP%GO:2001025	7	3	0.635
DIVALENT INORGANIC ANION HOMEOSTASIS%GOBP%GO:0072505	7	3	0.635
NOTCH RECEPTOR PROCESSING, LIGAND-DEPENDENT%GOBP%GO:0035333	7	3	0.635
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CENTROSOME%GOBP%GO:1904781	7	3	0.635
PROTEIN LOCALIZATION TO CYTOPLASMIC STRESS GRANULE%GOBP%GO:1903608	7	3	0.635
NEGATIVE REGULATION OF VOLTAGE-GATED CALCIUM CHANNEL ACTIVITY%GOBP%GO:1901386	7	3	0.635
REGULATION OF TRIGLYCERIDE CATABOLIC PROCESS%GOBP%GO:0010896	7	3	0.635
OSTEOBLAST DEVELOPMENT%GOBP%GO:0002076	7	3	0.635
PRESYNAPTIC MEMBRANE ASSEMBLY%GOBP%GO:0097105	7	3	0.635
SPECIFICATION OF ANIMAL ORGAN IDENTITY%GOBP%GO:0010092	7	3	0.635
CARBOHYDRATE PHOSPHORYLATION%GOBP%GO:0046835	7	3	0.635
HEART VALVE FORMATION%GOBP%GO:0003188	7	3	0.635
GANGLION DEVELOPMENT%GOBP%GO:0061548	7	3	0.635
RESPONSE TO OXYGEN RADICAL%GOBP%GO:0000305	7	3	0.635
REGULATION OF NK T CELL ACTIVATION%GOBP%GO:0051133	7	3	0.635
REGULATION OF MICROTUBULE BINDING%GOBP%GO:1904526	7	3	0.635
GANGLIOSIDE BIOSYNTHETIC PROCESS%GOBP%GO:0001574	7	3	0.635
REGULATION OF OXIDATIVE STRESS-INDUCED NEURON INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1903376	7	3	0.635
NEGATIVE REGULATION OF NUCLEASE ACTIVITY%GOBP%GO:0032074	7	3	0.635
PEPTIDYL-S-DIACYLGLYCEROL-L-CYSTEINE BIOSYNTHETIC PROCESS FROM PEPTIDYL-CYSTEINE%GOBP%GO:0018231	7	3	0.635
NEGATIVE REGULATION OF PURINE NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:1900372	7	3	0.635
POSITIVE REGULATION OF MACROPHAGE DIFFERENTIATION%GOBP%GO:0045651	7	3	0.635
PRESYNAPTIC MEMBRANE ORGANIZATION%GOBP%GO:0097090	7	3	0.635
MEMBRANE FUSION INVOLVED IN VIRAL ENTRY INTO HOST CELL%GOBP%GO:0039663	7	3	0.635
COCHLEA MORPHOGENESIS%GOBP%GO:0090103	7	3	0.635
RIBOSOME DISASSEMBLY%GOBP%GO:0032790	7	3	0.635
CELL DIFFERENTIATION IN SPINAL CORD%GOBP%GO:0021515	7	3	0.635
HISTONE H4-K8 ACETYLATION%GOBP%GO:0043982	7	3	0.635
CALCIUM ION IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0098703	7	3	0.635
INNER EAR AUDITORY RECEPTOR CELL DIFFERENTIATION%GOBP%GO:0042491	7	3	0.635
NEGATIVE REGULATION OF HIPPO SIGNALING%GOBP%GO:0035331	7	3	0.635
POSITIVE REGULATION OF AMYLOID-BETA FORMATION%GOBP%GO:1902004	7	3	0.635
FUSION OF VIRUS MEMBRANE WITH HOST PLASMA MEMBRANE%GOBP%GO:0019064	7	3	0.635
NEGATIVE REGULATION OF T-HELPER 17 CELL DIFFERENTIATION%GOBP%GO:2000320	7	3	0.635
NEGATIVE REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042754	7	3	0.635
PROGESTERONE METABOLIC PROCESS%GOBP%GO:0042448	7	3	0.635
TRNA SPLICING, VIA ENDONUCLEOLYTIC CLEAVAGE AND LIGATION%GOBP%GO:0006388	7	3	0.635
CALCIUM ION IMPORT INTO CYTOSOL%GOBP%GO:1902656	7	3	0.635
PHOSPHATE ION TRANSPORT%GOBP%GO:0006817	7	3	0.635
REGULATION OF PROTEIN TRANSPORT%GOBP%GO:0051223	380	159	0.636
NEGATIVE REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031345	80	33	0.637
PID_BMP_PATHWAY%MSIGDB_C2%PID_BMP_PATHWAY	39	16	0.637
BIOCARTA_P38MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_P38MAPK_PATHWAY	39	16	0.637
ATR SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ATR SIGNALING PATHWAY	39	16	0.637
BMP RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BMP RECEPTOR SIGNALING	39	16	0.637
SIGNALING BY EGFR%REACTOME DATABASE ID RELEASE 65%177929	39	16	0.637
SIGNALING BY ERBB4%REACTOME%R-HSA-1236394.1	39	16	0.637
LYSOSOME ORGANIZATION%GOBP%GO:0007040	39	16	0.637
POSITIVE REGULATION OF EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030858	39	16	0.637
MITOTIC SPINDLE ASSEMBLY%GOBP%GO:0090307	39	16	0.637
POSITIVE REGULATION OF CALCIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:1904427	39	16	0.637
LYTIC VACUOLE ORGANIZATION%GOBP%GO:0080171	39	16	0.637
PID_ANTHRAX_PATHWAY%MSIGDB_C2%PID_ANTHRAX_PATHWAY	17	7	0.637
SYNDECAN-3-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SYNDECAN-3-MEDIATED SIGNALING EVENTS	17	7	0.637
5-HYDROXYTRYPTAMINE DEGREDATION%PANTHER PATHWAY%P04372	17	7	0.637
AXON GUIDANCE MEDIATED BY SLIT ROBO%PANTHER PATHWAY%P00008	17	7	0.637
DOWNSTREAM SIGNALING OF ACTIVATED FGFR4%REACTOME%R-HSA-5654716.1	17	7	0.637
REGULATION OF TP53 ACTIVITY THROUGH METHYLATION%REACTOME%R-HSA-6804760.1	17	7	0.637
DNA DOUBLE-STRAND BREAK PROCESSING%GOBP%GO:0000729	17	7	0.637
REGULATION OF GLUCAN BIOSYNTHETIC PROCESS%GOBP%GO:0010962	17	7	0.637
POSITIVE REGULATION OF CHOLESTEROL TRANSPORT%GOBP%GO:0032376	17	7	0.637
ENTRAINMENT OF CIRCADIAN CLOCK BY PHOTOPERIOD%GOBP%GO:0043153	17	7	0.637
NEGATIVE REGULATION OF OXIDATIVE STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902176	17	7	0.637
MRNA SPLICE SITE SELECTION%GOBP%GO:0006376	17	7	0.637
PHOTORECEPTOR CELL MAINTENANCE%GOBP%GO:0045494	17	7	0.637
REGULATION OF SMAD PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0060390	17	7	0.637
PSEUDOURIDINE SYNTHESIS%GOBP%GO:0001522	17	7	0.637
POSITIVE REGULATION OF TRANSCRIPTION INITIATION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:0060261	17	7	0.637
POSITIVE REGULATION OF RNA SPLICING%GOBP%GO:0033120	17	7	0.637
POSITIVE REGULATION OF POSTTRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060148	17	7	0.637
REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902235	17	7	0.637
ENDOPLASMIC RETICULUM CALCIUM ION HOMEOSTASIS%GOBP%GO:0032469	17	7	0.637
REGULATION OF TRANSFORMING GROWTH FACTOR BETA PRODUCTION%GOBP%GO:0071634	17	7	0.637
LIPID TRANSLOCATION%GOBP%GO:0034204	17	7	0.637
MATURATION OF 5.8S RRNA FROM TRICISTRONIC RRNA TRANSCRIPT (SSU-RRNA, 5.8S RRNA, LSU-RRNA)%GOBP%GO:0000466	17	7	0.637
NERVE DEVELOPMENT%GOBP%GO:0021675	17	7	0.637
REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS%GOBP%GO:0005979	17	7	0.637
EMBRYONIC EYE MORPHOGENESIS%GOBP%GO:0048048	17	7	0.637
POSITIVE REGULATION OF STEROL TRANSPORT%GOBP%GO:0032373	17	7	0.637
REGULATION OF FATTY ACID OXIDATION%GOBP%GO:0046320	17	7	0.637
PHOSPHOLIPID CATABOLIC PROCESS%GOBP%GO:0009395	17	7	0.637
REGULATION OF CENTRIOLE REPLICATION%GOBP%GO:0046599	17	7	0.637
BETA-CATENIN DESTRUCTION COMPLEX DISASSEMBLY%GOBP%GO:1904886	17	7	0.637
REGULATION OF NEURONAL SYNAPTIC PLASTICITY%GOBP%GO:0048168	17	7	0.637
LONG-CHAIN FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0042759	17	7	0.637
FACTORS INVOLVED IN MEGAKARYOCYTE DEVELOPMENT AND PLATELET PRODUCTION%REACTOME%R-HSA-983231.2	116	48	0.638
B CELL ACTIVATION%PANTHER PATHWAY%P00010	56	23	0.64
REGULATION OF CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0010522	56	23	0.64
REGULATION OF CILIUM ASSEMBLY%GOBP%GO:1902017	56	23	0.64
RESPONSE TO PURINE-CONTAINING COMPOUND%GOBP%GO:0014074	56	23	0.64
CCR7%IOB%CCR7	22	9	0.642
